exit_time,pnl,symbol,regime,side,strategy_id,stage
2025-01-09 12:00:00+00:00,2.060027,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-10 00:00:00+00:00,1.197468,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-10 12:00:00+00:00,-0.384373,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-11 00:00:00+00:00,1.052223,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-11 12:00:00+00:00,1.627054,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-12 00:00:00+00:00,1.227051,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-12 12:00:00+00:00,1.426355,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-13 00:00:00+00:00,-0.386313,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-13 12:00:00+00:00,1.419078,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-14 00:00:00+00:00,0.661482,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-14 12:00:00+00:00,1.417596,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-15 00:00:00+00:00,0.305393,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-15 12:00:00+00:00,-0.152982,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-16 00:00:00+00:00,2.289256,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-16 12:00:00+00:00,1.654582,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-17 00:00:00+00:00,0.823438,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-17 12:00:00+00:00,0.954754,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-18 00:00:00+00:00,0.183026,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-18 12:00:00+00:00,0.918218,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-19 00:00:00+00:00,1.824084,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-19 12:00:00+00:00,0.29915,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-20 00:00:00+00:00,2.928609,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-20 12:00:00+00:00,1.366654,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-21 00:00:00+00:00,0.864599,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-21 12:00:00+00:00,1.404338,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-22 00:00:00+00:00,-0.290427,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-22 12:00:00+00:00,1.211849,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-23 00:00:00+00:00,0.253395,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-23 12:00:00+00:00,0.521955,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-24 00:00:00+00:00,0.773493,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-24 12:00:00+00:00,0.687216,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-25 00:00:00+00:00,0.156925,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-25 12:00:00+00:00,2.718231,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-26 00:00:00+00:00,0.580993,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-26 12:00:00+00:00,1.271637,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-27 00:00:00+00:00,-0.565908,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-27 12:00:00+00:00,0.684338,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-28 00:00:00+00:00,-0.06132,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-28 12:00:00+00:00,-0.704698,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-29 00:00:00+00:00,0.003282,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-29 12:00:00+00:00,0.104948,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-30 00:00:00+00:00,0.360471,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-30 12:00:00+00:00,0.787776,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-03-01 00:00:00+00:00,-0.012816,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-01 12:00:00+00:00,0.33259,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-02 00:00:00+00:00,-0.670282,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-02 12:00:00+00:00,0.375559,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-03 00:00:00+00:00,0.270194,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-03 12:00:00+00:00,1.421968,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-04 00:00:00+00:00,-0.811024,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-04 12:00:00+00:00,0.092153,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-05 00:00:00+00:00,-0.213474,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-05 12:00:00+00:00,1.637098,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-06 00:00:00+00:00,1.31935,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-06 12:00:00+00:00,-0.580446,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-07 00:00:00+00:00,0.104835,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-07 12:00:00+00:00,-0.812319,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-08 00:00:00+00:00,0.965482,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-08 12:00:00+00:00,-0.431299,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-09 00:00:00+00:00,1.539102,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-09 12:00:00+00:00,-0.026304,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-10 00:00:00+00:00,0.894621,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-10 12:00:00+00:00,0.162741,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-11 00:00:00+00:00,0.427741,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-11 12:00:00+00:00,0.206116,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-12 00:00:00+00:00,-1.333891,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-12 12:00:00+00:00,1.311107,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-13 00:00:00+00:00,-1.50777,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-13 12:00:00+00:00,0.183041,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-14 00:00:00+00:00,0.09726,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-14 12:00:00+00:00,-1.015268,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-15 00:00:00+00:00,1.400335,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-15 12:00:00+00:00,-1.225968,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-16 00:00:00+00:00,0.397247,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-16 12:00:00+00:00,-0.489532,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-17 00:00:00+00:00,0.138257,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-17 12:00:00+00:00,0.180985,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-18 00:00:00+00:00,-0.416175,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-18 12:00:00+00:00,-1.486922,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-19 00:00:00+00:00,2.264822,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-19 12:00:00+00:00,0.521024,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-20 00:00:00+00:00,2.092076,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-20 12:00:00+00:00,1.621279,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-21 00:00:00+00:00,0.552542,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-21 12:00:00+00:00,1.471653,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-22 00:00:00+00:00,0.949326,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-22 12:00:00+00:00,1.057495,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-23 00:00:00+00:00,-0.043632,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-23 12:00:00+00:00,-0.305642,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-24 00:00:00+00:00,-0.509686,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-24 12:00:00+00:00,0.087126,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-25 00:00:00+00:00,-1.336976,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-25 12:00:00+00:00,-0.641686,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-26 00:00:00+00:00,-0.346419,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-26 12:00:00+00:00,-1.70661,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-27 00:00:00+00:00,-0.395672,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-27 12:00:00+00:00,1.484789,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-28 00:00:00+00:00,1.194842,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-28 12:00:00+00:00,-1.233769,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-29 00:00:00+00:00,0.66808,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,paper
2025-03-29 12:00:00+00:00,-0.275988,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,paper
2025-03-30 00:00:00+00:00,-0.052514,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,paper
2025-03-30 12:00:00+00:00,-0.718686,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,paper
2025-05-01 00:00:00+00:00,-0.456783,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-01 12:00:00+00:00,0.227992,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-02 00:00:00+00:00,0.281813,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-02 12:00:00+00:00,-0.794354,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-03 00:00:00+00:00,0.786148,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-03 12:00:00+00:00,0.385672,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-04 00:00:00+00:00,-0.61216,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-04 12:00:00+00:00,-0.831307,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-05 00:00:00+00:00,-0.294555,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-05 12:00:00+00:00,-2.514638,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-06 00:00:00+00:00,0.135305,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-06 12:00:00+00:00,1.243363,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-07 00:00:00+00:00,-1.34627,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-07 12:00:00+00:00,0.435971,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-08 00:00:00+00:00,0.32559,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-08 12:00:00+00:00,-1.035285,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-09 00:00:00+00:00,-0.356574,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-09 12:00:00+00:00,-0.680064,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-10 00:00:00+00:00,-0.983942,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-10 12:00:00+00:00,-0.1503,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-11 00:00:00+00:00,-2.365318,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-11 12:00:00+00:00,-1.590985,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-12 00:00:00+00:00,0.435723,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-12 12:00:00+00:00,-0.356762,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-13 00:00:00+00:00,1.024773,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-13 12:00:00+00:00,-0.32062,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-14 00:00:00+00:00,-0.597565,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-14 12:00:00+00:00,-0.596078,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-15 00:00:00+00:00,-0.653439,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-15 12:00:00+00:00,-1.136355,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-16 00:00:00+00:00,-1.351754,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-16 12:00:00+00:00,1.87406,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-17 00:00:00+00:00,0.115975,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-17 12:00:00+00:00,-0.780329,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-18 00:00:00+00:00,1.127275,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-18 12:00:00+00:00,-0.165288,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-19 00:00:00+00:00,-0.064891,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-19 12:00:00+00:00,0.590106,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-20 00:00:00+00:00,0.01604,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-20 12:00:00+00:00,-0.326268,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-21 00:00:00+00:00,1.062682,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-21 12:00:00+00:00,-1.435566,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-22 00:00:00+00:00,0.421944,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-22 12:00:00+00:00,0.775822,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-23 00:00:00+00:00,-1.78906,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-23 12:00:00+00:00,0.350659,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-24 00:00:00+00:00,-1.316415,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-24 12:00:00+00:00,-1.695447,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-25 00:00:00+00:00,-0.638067,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-25 12:00:00+00:00,0.230424,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-26 00:00:00+00:00,-1.229913,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-26 12:00:00+00:00,-0.734174,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-27 00:00:00+00:00,-0.952148,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-27 12:00:00+00:00,0.832741,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-28 00:00:00+00:00,-0.903117,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-28 12:00:00+00:00,1.217338,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-29 00:00:00+00:00,-1.212133,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,live
2025-05-29 12:00:00+00:00,-0.576735,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,live
2025-05-30 00:00:00+00:00,0.273826,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,live
2025-05-30 12:00:00+00:00,-0.097032,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,live
